시군구코드,시군구명,기준분기,유동인구,유동_남,유동_여,유동_10,유동_20,유동_30,유동_40,유동_50,유동_60이상,상주인구,총가구수,아파트가구,비아파트가구,직장인구
11215,광진구,20211,95233549,44444468,50789079,13824048,17444027,16096368,14651426,13959359,19258329,346546,167243,0,167243,51301
11215,광진구,20212,93795853,43625829,50170028,13756945,17614722,15771708,14363002,13626337,18663133,346546,167243,0,167243,51301
11215,광진구,20213,91874428,42784207,49090221,13202623,17103658,15564066,14089432,13525696,18388946,346546,167243,0,167243,51301
11215,광진구,20214,92811163,43237666,49573491,13451535,17661540,15682309,14183970,13531614,18300193,346546,167243,0,167243,51212
11215,광진구,20221,94688579,44189303,50499275,13683049,17907890,16060359,14492725,13800623,18743931,346546,167243,0,167243,51212
11215,광진구,20222,94990470,44155079,50835395,14061043,18511878,15848084,14427723,13587913,18553825,346546,167243,0,167243,51212
11215,광진구,20223,92114048,42890039,49224006,13345097,17773767,15456074,14042107,13341361,18155638,346546,167243,0,167243,51212
11215,광진구,20224,92150892,42824059,49326830,13440357,17952954,15499916,13947361,13284460,18025841,341566,167243,0,167243,51522
11215,광진구,20231,92762591,43252760,49509833,13717692,17679262,15679505,14081054,13365233,18239845,341566,167243,0,167243,51522
11215,광진구,20232,92598965,43026561,49572401,13874030,18261297,15603410,13979520,13047552,17833145,341566,167243,0,167243,51522
11215,광진구,20233,91012371,42323568,48688800,13493084,17471105,15269781,13881226,12955388,17941791,341566,167243,0,167243,51522
11215,광진구,20234,93233645,43391653,49841990,13757037,18290576,15569996,14147910,13221855,18246273,334942,169703,0,169703,40300
11215,광진구,20241,93274091,43568085,49706005,13920736,17694725,15593698,14230489,13321181,18513262,334942,169703,0,169703,40300
11215,광진구,20242,92118930,42824948,49293983,13892247,18245700,15363717,13912065,12900396,17804798,334942,169703,0,169703,40300
11215,광진구,20243,90112232,42026134,48086091,13354741,17151006,15041055,13829727,12937819,17797884,334942,169703,0,169703,40300
11215,광진구,20244,91857301,42836298,49021004,13619331,18175712,15260210,14056196,12976208,17769644,334942,169703,0,169703,56058
11215,광진구,20251,90391277,42171530,48219746,13414495,17208176,15144278,13934285,12861283,17828755,334942,169703,0,169703,56058
11215,광진구,20252,90024787,41732417,48292368,13634164,17901880,15023916,13726678,12530878,17207267,334942,169703,0,169703,56058
11215,광진구,20253,88047147,40721454,47325692,13182561,16955073,14836007,13566032,12351836,17155647,334942,169703,0,169703,56058
11215,광진구,20254,88459442,40890227,47569215,13125157,17528196,14807740,13583313,12265657,17149371,334942,169703,0,169703,56058
11215,광진구,20261,88590863,41062704,47528158,13244185,16926672,14937135,13735659,12395422,17351791,334942,169703,0,169703,56058
11230,동대문구,20211,105983898,51004377,54979526,14052860,19042112,15597812,15507580,15381917,26401622,342588,167339,0,167339,51902
11230,동대문구,20212,105932469,50785583,55146887,14348054,19774888,15501485,15325835,15149315,25832890,342588,167339,0,167339,51902
11230,동대문구,20213,103450242,49673355,53776887,13388300,19019092,15373255,15144601,14980723,25544275,342588,167339,0,167339,51902
11230,동대문구,20214,105445660,50481373,54964288,13734772,20475501,15437486,15240615,15084313,25472975,342588,167339,0,167339,52406
11230,동대문구,20221,105728949,50640912,55088038,13828170,20132691,15619367,15367255,15220388,25561084,342588,167339,0,167339,52406
11230,동대문구,20222,108112197,51445325,56666873,14586664,21817648,15555400,15389287,15186018,25577180,342588,167339,0,167339,52406
11230,동대문구,20223,104248006,49618545,54629461,13587234,20933298,15160494,15085652,14761990,24719339,342588,167339,0,167339,52406
11230,동대문구,20224,106753457,50512629,56240824,13932318,22815688,15356520,15326647,14779851,24542430,323173,167339,0,167339,51389
11230,동대문구,20231,105938882,50332750,55606134,13841773,21472314,15300776,15548078,14964803,24811135,323173,167339,0,167339,51389
11230,동대문구,20232,107562233,50837084,56725151,14396447,23478993,15239908,15460053,14823333,24163507,323173,167339,0,167339,51389
11230,동대문구,20233,103704518,49274218,54430302,13595039,20977740,15031007,15303153,14775211,24022374,323173,167339,0,167339,51389
11230,동대문구,20234,107548395,50738797,56809598,14109932,23423760,15303911,15612585,14995924,24102282,340101,171946,0,171946,53565
11230,동대문구,20241,104940345,49788229,55152117,13883272,20968283,15245476,15613438,15029182,24200698,340101,171946,0,171946,53565
11230,동대문구,20242,106517526,50204112,56313413,14344617,23274268,15154649,15403803,14786635,23553552,340101,171946,0,171946,53565
11230,동대문구,20243,102087425,48442242,53645181,13152801,20730122,14954181,15237437,14618258,23394626,340101,171946,0,171946,53565
11230,동대문구,20244,104589726,49287445,55302280,13344963,23024181,14928569,15351998,14633061,23306953,340101,171946,0,171946,50705
11230,동대문구,20251,102586478,48642064,53944407,13401191,20746748,14976209,15394909,14728732,23338691,340101,171946,0,171946,50705
11230,동대문구,20252,104106301,48826563,55279744,13945120,22993288,15090885,15186863,14448211,22441937,340101,171946,0,171946,50705
11230,동대문구,20253,101275437,47535292,53740149,13295908,20782855,15275598,15132670,14431421,22356987,340101,171946,0,171946,50705
11230,동대문구,20254,104514742,48721986,55792753,13803332,22666564,15574880,15429577,14541442,22498940,340101,171946,0,171946,50705
11230,동대문구,20261,105885188,49583543,56301644,14408203,21070874,16335628,16105678,15015617,22949199,340101,171946,0,171946,50705
11260,중랑구,20211,105509836,49302433,56207413,14884855,14165526,16069167,15611126,17586476,27192693,394574,185787,0,185787,22209
11260,중랑구,20212,102641797,47797955,54843839,14519362,13866848,15561993,15251137,17047290,26395163,394574,185787,0,185787,22209
11260,중랑구,20213,102126986,47673059,54453926,14218400,13785851,15600032,15195456,17046227,26281019,394574,185787,0,185787,22209
11260,중랑구,20214,101138503,47229539,53908968,14053745,13484964,15417450,15087313,16877725,26217308,394574,185787,0,185787,21341
11260,중랑구,20221,102401239,48031076,54370167,13976628,13666474,15765076,15298266,17121160,26573634,394574,185787,0,185787,21341
11260,중랑구,20222,100756173,47046034,53710136,13873766,13379132,15472032,15088412,16825841,26116992,394574,185787,0,185787,21341
11260,중랑구,20223,98199864,45994876,52204983,13482427,13026972,15123374,14699357,16452037,25415696,394574,185787,0,185787,21341
11260,중랑구,20224,97958499,45931640,52026862,13602386,12917255,15158415,14673900,16365198,25241352,393628,185787,0,185787,20847
11260,중랑구,20231,98823558,46422575,52400986,13789666,13026911,15273990,14755627,16497000,25480367,393628,185787,0,185787,20847
11260,중랑구,20232,96598353,45256355,51341994,13385099,12845343,15092263,14495369,16048720,24731557,393628,185787,0,185787,20847
11260,중랑구,20233,96677469,45293069,51384400,13426705,12775366,15096455,14564896,16008977,24805069,393628,185787,0,185787,20847
11260,중랑구,20234,97500882,45839887,51660992,13678710,12692469,15213215,14775557,16154648,24986282,381547,187708,0,187708,18587
11260,중랑구,20241,97869226,46035300,51833928,13567527,12803678,15244734,14782375,16193016,25277906,381547,187708,0,187708,18587
11260,중랑구,20242,93747281,43914759,49832518,12853940,12423245,14744437,14171622,15405587,24148452,381547,187708,0,187708,18587
11260,중랑구,20243,92572435,43369806,49202626,12519000,12232743,14576026,13969858,15182156,24092644,381547,187708,0,187708,18587
11260,중랑구,20244,93145934,43674815,49471119,12730047,12339682,14665078,14115309,15137651,24158174,381547,187708,0,187708,21334
11260,중랑구,20251,94470011,44450669,50019345,12774520,12440032,14892427,14360648,15361453,24640939,381547,187708,0,187708,21334
11260,중랑구,20252,92353986,43339866,49014120,12560329,12176861,14649800,14112331,14984431,23870225,381547,187708,0,187708,21334
11260,중랑구,20253,92447010,43242121,49204886,12556909,12142562,14653807,14105491,15022533,23965708,381547,187708,0,187708,21334
11260,중랑구,20254,92797391,43531653,49265737,12709730,12205480,14770449,14203949,15005886,23901892,381547,187708,0,187708,21334
11260,중랑구,20261,93507214,43845923,49661288,12764867,12305133,14984591,14385889,15080626,23986119,381547,187708,0,187708,21334
11290,성북구,20211,123706933,56638170,67068763,21298864,19797366,17132781,18869717,17704814,28903396,436692,195040,0,195040,64812
11290,성북구,20212,122030512,55650481,66380027,21368568,20147491,16776296,18443700,17310455,27984003,436692,195040,0,195040,64812
11290,성북구,20213,117697348,53855586,63841760,20107175,19153972,16438465,17976706,16979395,27041629,436692,195040,0,195040,64812
11290,성북구,20214,118748598,54225561,64523038,20526464,19971202,16504272,17961270,17032172,26753217,436692,195040,0,195040,63465
11290,성북구,20221,118067923,54154791,63913138,20282180,19518503,16552170,17965324,17149428,26600327,436692,195040,0,195040,63465
11290,성북구,20222,121460248,55420240,66040006,21525715,20961910,16714505,18153281,17359986,26744848,436692,195040,0,195040,63465
11290,성북구,20223,117868658,54128190,63740470,20511717,19911293,16312407,17764626,17148963,26219652,436692,195040,0,195040,63465
11290,성북구,20224,120387485,55046735,65340746,21123081,21317420,16493704,17999886,17296630,26156757,412357,195040,0,195040,61781
11290,성북구,20231,120107871,55020503,65087372,21220978,20355708,16518623,18017908,17531448,26463195,412357,195040,0,195040,61781
11290,성북구,20232,120785903,54876813,65909089,21520586,21589962,16315664,17885364,17423784,26050543,412357,195040,0,195040,61781
11290,성북구,20233,117624977,53656479,63968500,20398908,20030481,16078528,17744140,17394419,25978506,412357,195040,0,195040,61781
11290,성북구,20234,120888134,54987678,65900458,21137691,21567285,16315761,18059354,17703239,26104812,425160,196499,0,196499,54660
11290,성북구,20241,119590080,54752202,64837879,20801872,20221245,16210955,18136194,17822659,26397156,425160,196499,0,196499,54660
11290,성북구,20242,119610900,54317159,65293742,21043971,21721564,15966840,17826766,17406082,25645678,425160,196499,0,196499,54660
11290,성북구,20243,115541372,52786776,62754598,19758494,19830117,15600904,17587348,17268304,25496209,425160,196499,0,196499,54660
11290,성북구,20244,119072200,54245103,64827097,20505560,21721651,15906148,17779775,17513035,25646032,425160,196499,0,196499,68606
11290,성북구,20251,117929121,54016649,63912469,20220670,20259039,15924386,17771240,17715520,26038265,425160,196499,0,196499,68606
11290,성북구,20252,119802641,54534374,65268274,20853892,22065913,16035220,17707901,17713003,25426721,425160,196499,0,196499,68606
11290,성북구,20253,117599319,53648335,63950981,20009773,20749008,15973484,17514290,17803565,25549208,425160,196499,0,196499,68606
11290,성북구,20254,119898448,54473663,65424782,20355455,21963999,16230150,17684979,17969081,25694772,425160,196499,0,196499,68606
11290,성북구,20261,119201823,54309746,64892075,20465320,20824079,16309026,17767788,18087699,25747913,425160,196499,0,196499,68606
11305,강북구,20211,102521577,47169537,55352039,14295951,13944380,13074599,15302991,16398606,29505049,308115,145867,0,145867,16340
11305,강북구,20212,99996536,45815549,54180986,13970705,13694705,12699671,14930904,16047696,28652863,308115,145867,0,145867,16340
11305,강북구,20213,100374443,46266641,54107806,13956644,13549501,12897886,15014320,16129504,28826590,308115,145867,0,145867,16340
11305,강북구,20214,99016813,45585291,53431520,13785062,13364677,12732418,14830763,15940184,28363704,308115,145867,0,145867,16713
11305,강북구,20221,99870301,46297017,53573287,13781816,13594341,12870086,14951363,16196096,28476593,308115,145867,0,145867,16713
11305,강북구,20222,98541305,45333565,53207740,13959929,13567918,12495991,14707674,15949826,27859969,308115,145867,0,145867,16713
11305,강북구,20223,96872612,44758676,52113936,13574137,13422604,12317235,14473047,15758869,27326729,308115,145867,0,145867,16713
