업종코드,업종명,기준분기,매출금액,매출건수,남성매출,여성매출,연령10,연령20,연령30,연령40,연령50,연령60이상,주중매출,주말매출
CS300024,운동/경기용품,20241,223811807247,1484904,129865831197,73563090213,1149294453,18051218416,42221170370,56268748512,49719517835,36018956643,153515104617,70296702630
CS300024,운동/경기용품,20242,224025846131,1755421,122870102277,73707038025,1137293090,18784437383,37883571433,50652681014,46641316312,41477806031,152201864650,71823981481
CS300024,운동/경기용품,20243,204881096028,1577704,117207597745,65162004326,1111577148,19355300209,37151545972,50041440281,40970627315,33739422564,140523156413,64357939615
CS300024,운동/경기용품,20244,232444585966,1561186,127042292584,79130593647,1218954140,21182470609,41037730029,56700908674,49130480272,36902244655,152269505424,80175080542
CS300024,운동/경기용품,20251,196403306321,1423960,116466347853,63693526098,950173675,14466784653,37738971008,53495455431,42653448450,30860549346,129836990948,66566315373
CS300024,운동/경기용품,20252,213010467549,1713181,118739165368,71469942594,1076695320,15809143378,33958740677,55941663884,43865506388,39556216776,146153097272,66857370277
CS300024,운동/경기용품,20253,205050874404,1472635,116898694351,68951448351,1322496919,17916876416,33302379738,54666844675,44282127395,34359417575,139374984254,65675890150
CS300024,운동/경기용품,20254,238003053809,1354236,140192507599,74552830327,1337585293,21642039071,38773755106,60477053398,50976360577,41538544468,156350559043,81652494766
CS300024,운동/경기용품,20261,200908099958,1236991,115603283230,66909983965,1002583726,13783849749,29659839118,53947519002,45090895300,39030052809,134093456506,66814643452
CS300007,육류판매,20211,884280957353,19836553,376584117379,446668766132,271871592,28896416348,95332935020,154396039465,240468113262,303886832154,657386301150,226894656203
CS300007,육류판매,20212,765913826035,18849089,323045485728,394507952591,315855674,25626057143,88637359463,146640283149,201937548579,254396334313,563965605173,201948220862
CS300007,육류판매,20213,944673975706,20037223,397854903265,476220671804,500878156,33446608655,102247691989,166476007913,245251010396,326153253333,657508327925,287165647781
CS300007,육류판매,20214,869225016555,19736158,360214181278,452275335196,624910682,29101514553,101021684448,153977832623,237399367671,290363582634,653282993191,215942023364
CS300007,육류판매,20221,854123968569,18145609,360455166858,439635160707,232395943,22413683742,85733187778,139929985349,224085370794,327695703975,595771484300,258352484269
CS300007,육류판매,20222,726623905023,16551519,301667771347,381873033081,262138182,20209390067,76666705043,128419567247,190438692298,267546735026,538899178275,187724726748
CS300007,육류판매,20223,824845883881,15987753,333990328091,428104462532,281682522,21599128559,78900712680,127742097967,210252215402,323321142024,642456236654,182389647227
CS300007,육류판매,20224,790353645142,16813549,334284710567,413753155874,291317724,22364335818,83272703299,126883495812,201085850589,314140455117,585766759739,204586885403
CS300007,육류판매,20231,837525039975,16800861,347066752127,431498689489,194255795,15522209984,82698100155,129074893062,200161745929,350913726234,638268340895,199256699080
CS300007,육류판매,20232,697932842297,16123033,294542496425,370353180026,247480028,17399850585,73805427984,114967493327,169088097138,289402040087,518938764686,178994077611
CS300007,육류판매,20233,845121058739,16438298,365212824208,430671752263,202151326,19085116370,82510744273,135415942898,197531327502,361139793334,647356236734,197764822005
CS300007,육류판매,20234,749983171171,16276053,317243169405,388716066660,241635204,21380219508,71824439200,128178076552,180730701206,303604164395,554136613011,195846558160
CS300007,육류판매,20241,827532366837,16438481,342653800366,431184674232,151116699,14358805920,78029766668,127359638429,185211855716,368726691685,643460838540,184071528297
CS300007,육류판매,20242,682096334335,15314369,281585237747,368093075138,206399970,13323979010,73398791366,113215240065,156848636650,292685265818,521901528356,160194805979
CS300007,육류판매,20243,822158589059,15303263,335607693539,430445969625,248856177,15474482294,77790551534,114797937221,183252706264,374493077592,606633278594,215525310465
