소분류코드,소분류명,시도코드,시도명,시군구코드,시군구명,사업체수
G20507,아이스크림 할인점,11,서울특별시,11545,금천구,1
G20507,아이스크림 할인점,11,서울특별시,11560,영등포구,1
G20507,아이스크림 할인점,11,서울특별시,11590,동작구,3
G20507,아이스크림 할인점,11,서울특별시,11620,관악구,1
G20507,아이스크림 할인점,11,서울특별시,11680,강남구,4
G20507,아이스크림 할인점,11,서울특별시,11710,송파구,1
G20508,건강보조식품 소매업,11,서울특별시,11110,종로구,72
G20508,건강보조식품 소매업,11,서울특별시,11140,중구,92
G20508,건강보조식품 소매업,11,서울특별시,11170,용산구,48
G20508,건강보조식품 소매업,11,서울특별시,11200,성동구,64
G20508,건강보조식품 소매업,11,서울특별시,11215,광진구,81
G20508,건강보조식품 소매업,11,서울특별시,11230,동대문구,177
G20508,건강보조식품 소매업,11,서울특별시,11260,중랑구,109
G20508,건강보조식품 소매업,11,서울특별시,11290,성북구,69
G20508,건강보조식품 소매업,11,서울특별시,11305,강북구,58
G20508,건강보조식품 소매업,11,서울특별시,11320,도봉구,55
G20508,건강보조식품 소매업,11,서울특별시,11350,노원구,69
G20508,건강보조식품 소매업,11,서울특별시,11380,은평구,103
G20508,건강보조식품 소매업,11,서울특별시,11410,서대문구,74
G20508,건강보조식품 소매업,11,서울특별시,11440,마포구,93
G20508,건강보조식품 소매업,11,서울특별시,11470,양천구,107
G20508,건강보조식품 소매업,11,서울특별시,11500,강서구,146
G20508,건강보조식품 소매업,11,서울특별시,11530,구로구,96
G20508,건강보조식품 소매업,11,서울특별시,11545,금천구,78
G20508,건강보조식품 소매업,11,서울특별시,11560,영등포구,141
G20508,건강보조식품 소매업,11,서울특별시,11590,동작구,72
G20508,건강보조식품 소매업,11,서울특별시,11620,관악구,98
G20508,건강보조식품 소매업,11,서울특별시,11650,서초구,184
G20508,건강보조식품 소매업,11,서울특별시,11680,강남구,318
G20508,건강보조식품 소매업,11,서울특별시,11710,송파구,191
G20508,건강보조식품 소매업,11,서울특별시,11740,강동구,124
G20509,반찬/식료품 소매업,11,서울특별시,11110,종로구,62
G20509,반찬/식료품 소매업,11,서울특별시,11140,중구,70
G20509,반찬/식료품 소매업,11,서울특별시,11170,용산구,52
G20509,반찬/식료품 소매업,11,서울특별시,11200,성동구,64
G20509,반찬/식료품 소매업,11,서울특별시,11215,광진구,88
G20509,반찬/식료품 소매업,11,서울특별시,11230,동대문구,135
G20509,반찬/식료품 소매업,11,서울특별시,11260,중랑구,72
G20509,반찬/식료품 소매업,11,서울특별시,11290,성북구,77
G20509,반찬/식료품 소매업,11,서울특별시,11305,강북구,88
G20509,반찬/식료품 소매업,11,서울특별시,11320,도봉구,86
G20509,반찬/식료품 소매업,11,서울특별시,11350,노원구,85
G20509,반찬/식료품 소매업,11,서울특별시,11380,은평구,84
G20509,반찬/식료품 소매업,11,서울특별시,11410,서대문구,66
G20509,반찬/식료품 소매업,11,서울특별시,11440,마포구,90
G20509,반찬/식료품 소매업,11,서울특별시,11470,양천구,92
G20509,반찬/식료품 소매업,11,서울특별시,11500,강서구,131
G20509,반찬/식료품 소매업,11,서울특별시,11530,구로구,98
G20509,반찬/식료품 소매업,11,서울특별시,11545,금천구,69
G20509,반찬/식료품 소매업,11,서울특별시,11560,영등포구,106
G20509,반찬/식료품 소매업,11,서울특별시,11590,동작구,64
G20509,반찬/식료품 소매업,11,서울특별시,11620,관악구,110
G20509,반찬/식료품 소매업,11,서울특별시,11650,서초구,81
G20509,반찬/식료품 소매업,11,서울특별시,11680,강남구,145
G20509,반찬/식료품 소매업,11,서울특별시,11710,송파구,129
G20509,반찬/식료품 소매업,11,서울특별시,11740,강동구,135
G20601,얼음 소매업,11,서울특별시,11140,중구,2
G20601,얼음 소매업,11,서울특별시,11170,용산구,1
G20601,얼음 소매업,11,서울특별시,11200,성동구,2
G20601,얼음 소매업,11,서울특별시,11215,광진구,1
G20601,얼음 소매업,11,서울특별시,11230,동대문구,4
G20601,얼음 소매업,11,서울특별시,11290,성북구,1
G20601,얼음 소매업,11,서울특별시,11320,도봉구,1
G20601,얼음 소매업,11,서울특별시,11350,노원구,2
G20601,얼음 소매업,11,서울특별시,11440,마포구,2
G20601,얼음 소매업,11,서울특별시,11500,강서구,1
G20601,얼음 소매업,11,서울특별시,11545,금천구,2
G20601,얼음 소매업,11,서울특별시,11560,영등포구,1
G20601,얼음 소매업,11,서울특별시,11650,서초구,1
G20601,얼음 소매업,11,서울특별시,11680,강남구,2
G20601,얼음 소매업,11,서울특별시,11710,송파구,1
G20602,주류 소매업,11,서울특별시,11110,종로구,18
G20602,주류 소매업,11,서울특별시,11140,중구,33
G20602,주류 소매업,11,서울특별시,11170,용산구,22
G20602,주류 소매업,11,서울특별시,11200,성동구,8
G20602,주류 소매업,11,서울특별시,11215,광진구,11
G20602,주류 소매업,11,서울특별시,11230,동대문구,10
G20602,주류 소매업,11,서울특별시,11260,중랑구,2
G20602,주류 소매업,11,서울특별시,11290,성북구,15
G20602,주류 소매업,11,서울특별시,11305,강북구,2
G20602,주류 소매업,11,서울특별시,11320,도봉구,1
G20602,주류 소매업,11,서울특별시,11350,노원구,4
